City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hadibu,12.65,54.0333,27.57,69,100,4.16,YE,1698735383
83,coffs harbour,-30.3,153.1333,28.41,73,100,9.77,AU,1698735855
84,ushuaia,-54.8,-68.3,3.81,60,75,4.63,AR,1698735371
85,luganville,-15.5333,167.1667,25.36,88,84,5.74,VU,1698735855
86,nadi,-17.8,177.4167,28.0,74,40,4.12,FJ,1698735855
87,klyuchi,52.2667,79.1667,5.78,86,100,3.88,RU,1698735388
88,nossa senhora da gloria,-10.2183,-37.4203,19.0,95,100,2.32,BR,1698735855
89,pierre,44.3683,-100.351,-5.08,65,20,8.75,US,1698735856
90,bethel,41.3712,-73.414,8.3,76,0,2.06,US,1698735344
91,stanley,54.868,-1.6985,6.77,96,75,1.54,GB,1698735374
92,port moresby,-9.4431,147.1797,27.68,78,75,7.72,PG,1698735393
93,lincoln city,44.9582,-124.0179,11.5,61,78,6.26,US,1698735408
94,zarate,-34.0981,-59.0286,12.8,10,100,3.44,AR,1698735856
95,vielha,42.6846,0.7726,-2.19,85,3,0.74,ES,1698735856
96,mount gambier,-37.8333,140.7667,12.85,55,100,4.32,AU,1698735398
97,panama city beach,30.1766,-85.8055,18.34,88,40,5.14,US,1698735667
98,avarua,-21.2078,-159.775,23.03,73,20,6.69,CK,1698735377
99,mata-utu,-13.2816,-176.1745,28.62,78,13,7.34,WF,1698735372
100,whitehorse,60.7161,-135.0538,1.43,98,100,0.0,CA,1698735389
101,kolpny,52.2282,37.0368,11.58,80,100,2.57,RU,1698735857
102,cicero dantas,-10.6,-38.3833,17.62,97,100,2.02,BR,1698735718
103,arkhara,49.4212,130.0842,0.98,34,100,1.34,RU,1698735857
104,camarinas,43.1311,-9.1817,13.85,79,18,8.18,ES,1698735857
105,puerto ayora,-0.7393,-90.3518,23.64,94,100,1.34,EC,1698735371
106,ambon,-3.6954,128.1814,30.08,74,40,3.09,ID,1698735858
107,new norfolk,-42.7826,147.0587,14.4,58,100,4.19,AU,1698735385
108,atafu village,-8.5421,-172.5159,29.36,75,12,7.19,TK,1698735378
109,hirara,24.8,125.2833,25.92,73,75,8.75,JP,1698735443
110,xiaoweizhai,26.1903,107.5125,24.21,41,100,0.99,CN,1698735858
111,kattivakkam,13.2167,80.3167,31.71,73,100,6.4,IN,1698735410
112,paracuru,-3.41,-39.0306,24.5,72,95,5.92,BR,1698735416
113,udachny,66.4167,112.4,-19.51,96,100,3.43,RU,1698735409
114,okhotsk,59.3833,143.3,-0.11,97,100,5.8,RU,1698735858
115,ribeira grande,38.5167,-28.7,17.65,90,73,1.79,PT,1698735383
116,karratha,-20.7377,116.8463,32.37,33,60,8.68,AU,1698735383
117,nouadhibou,20.931,-17.0347,20.99,88,20,5.66,MR,1698735859
118,ukata,10.8312,5.8249,24.76,35,100,1.87,NG,1698735859
119,georgetown,5.4112,100.3354,32.96,70,20,4.63,MY,1698735364
120,carnarvon,-24.8667,113.6333,24.49,58,0,8.51,AU,1698735394
121,ostersund,63.1792,14.6357,-5.75,93,100,3.09,SE,1698735859
122,pisco,-13.7,-76.2167,18.03,88,7,4.12,PE,1698735280
123,prado,-17.3411,-39.2208,21.96,84,100,3.1,BR,1698735443
124,broken hill,-31.95,141.4333,21.97,23,35,4.55,AU,1698735131
125,caleta olivia,-46.4393,-67.5281,4.51,48,8,1.67,AR,1698735860
126,san patricio,28.017,-97.5169,10.47,63,100,6.15,US,1698735860
127,namibe,-15.1961,12.1522,21.12,63,4,2.79,AO,1698735399
128,vorgashor,67.5833,63.95,-10.0,91,99,4.97,RU,1698735395
129,wau,7.7029,27.9953,29.8,54,64,3.43,SS,1698735861
130,wailua homesteads,22.0669,-159.378,25.44,77,75,3.6,US,1698735393
131,bandiagara,14.3501,-3.6104,27.69,20,47,3.75,ML,1698735861
132,el alto,-4.2714,-81.2147,20.67,77,100,6.13,PE,1698735861
133,chernyshevskiy,63.0128,112.4714,-19.45,89,90,2.0,RU,1698735861
134,grand falls-windsor,48.9332,-55.6649,0.28,93,100,0.8,CA,1698735861
135,constantia,44.1833,28.65,14.38,83,14,3.41,RO,1698735414
136,ancud,-41.8697,-73.8203,4.26,94,19,3.09,CL,1698735388
137,diego de almagro,-26.3667,-70.05,14.54,42,0,0.23,CL,1698735862
138,ketchikan,55.3422,-131.6461,4.99,93,0,1.54,US,1698735408
139,invercargill,-46.4,168.35,13.34,77,13,3.13,NZ,1698735380
140,shahpur,16.7,76.8333,31.23,40,28,2.76,IN,1698735862
141,hawaiian paradise park,19.5933,-154.9731,23.91,94,100,3.09,US,1698735383
142,bardai,11.65,7.2333,24.21,26,99,4.23,NG,1698735862
143,saudarkrokur,65.7461,-19.6394,-1.2,73,88,3.46,IS,1698735715
144,silale,55.4906,22.1814,9.47,90,100,5.78,LT,1698735862
145,keflavik,64.0049,-22.5624,3.24,75,75,6.69,IS,1698735369
146,greymouth,-42.4667,171.2,11.63,80,100,2.2,NZ,1698735386
147,centerport,40.8854,-73.3762,10.25,77,100,3.6,US,1698735863
148,luderitz,-26.6481,15.1594,20.29,44,0,0.52,NA,1698735863
149,st. john's,47.5649,-52.7093,1.55,95,100,0.89,CA,1698735223
150,lamu,-2.2717,40.902,30.12,73,99,4.09,KE,1698735863
151,sadovoye,47.7764,44.5089,15.4,56,88,5.61,RU,1698735863
152,maturin,9.75,-63.1767,22.68,97,100,1.59,VE,1698735863
153,jericho,31.8667,35.45,29.79,50,4,2.99,PS,1698735864
154,howard springs,-12.497,131.047,33.26,53,35,4.79,AU,1698735419
155,chichiriviche,10.9333,-68.2772,26.76,83,100,0.82,VE,1698735864
156,muynoq,43.7683,59.0214,11.45,54,7,2.09,UZ,1698735864
157,bembibre,42.6177,-6.4155,8.37,99,86,0.94,ES,1698735864
158,la passe,45.5549,-0.8967,14.99,82,4,6.66,FR,1698735398
159,arraial do cabo,-22.9661,-42.0278,23.84,89,100,1.35,BR,1698735385
160,paramaribo,5.8667,-55.1667,26.06,89,20,3.57,SR,1698735865
161,ulan-ude,51.8261,107.6098,0.94,40,31,2.0,RU,1698735865
162,phalodi,27.1333,72.3667,33.23,21,37,3.93,IN,1698735865
163,trondheim,63.4305,10.3951,-4.95,82,5,2.86,NO,1698735672
164,sungai raya,0.7,108.9,28.25,73,99,0.59,ID,1698735415
165,mcalester,34.9334,-95.7697,-1.36,64,0,1.53,US,1698735642
166,yibin,28.7667,104.6238,24.09,62,75,1.53,CN,1698735865
167,bayville,40.9106,-73.5621,10.57,77,100,1.34,US,1698735866
168,paraiso,9.8383,-83.8656,19.12,97,100,0.66,CR,1698735866
169,tual,-5.6667,132.75,27.87,78,64,2.12,ID,1698735380
170,berezovyy,51.6667,135.7,0.85,39,100,1.05,RU,1698735866
171,komsomol'skiy,43.9783,46.6985,19.46,59,0,7.74,RU,1698735866
172,illizi,26.4833,8.4667,17.89,17,0,2.48,DZ,1698735752
173,podstrana,43.4833,16.5833,19.46,92,100,13.33,HR,1698735867
174,antsiranana,-12.2787,49.2917,31.42,51,40,5.14,MG,1698735867
175,sinjar,36.3209,41.8754,26.24,26,100,1.54,IQ,1698735867
176,sakaraha,-22.9,44.5333,30.4,41,6,2.44,MG,1698735867
177,gerash,27.6652,54.1371,26.08,25,73,1.61,IR,1698735867
178,west island,-12.1568,96.8225,27.99,74,40,7.2,CC,1698735377
179,kerikeri,-35.2268,173.9474,18.28,88,63,1.34,NZ,1698735410
180,xinpu,34.5997,119.1594,27.95,28,0,5.78,CN,1698735868
181,saipan,15.1355,145.701,30.39,79,40,5.66,MP,1698735395
182,vegueta,-11.0231,-77.6431,18.87,90,100,3.25,PE,1698735868
183,lauro de freitas,-12.8944,-38.3272,24.01,83,40,1.03,BR,1698735704
184,kenora,49.8167,-94.4337,-3.46,93,75,4.63,CA,1698735868
185,margaret river,-33.95,115.0667,18.62,57,0,6.4,AU,1698735386
186,coquimbo,-29.9533,-71.3436,12.85,87,20,2.57,CL,1698735400
187,mahina,-17.5065,-149.489,25.87,78,20,2.57,PF,1698735868
188,punta arenas,-53.15,-70.9167,4.06,60,75,4.63,CL,1698735391
189,adjuntas,18.1585,-66.8018,20.83,95,91,2.05,PR,1698735869
190,nabire,-3.3667,135.4833,26.61,89,100,2.76,ID,1698735869
191,prince george,53.9166,-122.753,0.34,79,0,1.03,CA,1698735627
192,qubadli,39.344,46.582,17.61,53,76,1.49,AZ,1698735869
193,remire-montjoly,4.9167,-52.2667,25.02,100,75,1.03,GF,1698735869
194,college,64.8569,-147.8028,-0.82,86,75,0.0,US,1698735322
195,la gi,10.6667,107.7833,29.56,71,100,5.24,VN,1698735870
196,petawawa,45.9001,-77.3328,-4.01,87,8,1.32,CA,1698735870
197,iskateley,67.6803,53.1512,-10.55,97,94,2.68,RU,1698735382
198,saint-philippe,-21.3585,55.7679,28.77,68,0,5.71,RE,1698735429
199,kelso,46.1468,-122.9084,5.13,90,0,0.0,US,1698735870
200,hamilton,39.1834,-84.5333,1.48,85,0,3.09,US,1698735390
201,smithers,54.7804,-127.1743,-6.82,93,0,1.03,CA,1698735395
202,cidade velha,14.9167,-23.6167,25.26,78,0,3.6,CV,1698735870
203,revda,56.801,59.9303,-1.6,81,100,2.13,RU,1698735871
204,gladstone,-23.85,151.25,26.96,47,0,5.66,AU,1698735624
205,nueva gerona,21.8833,-82.8,25.84,81,66,1.13,CU,1698735803
